web-scraper-order,web-scraper-start-url,link,link-href,title,author,description,genres,isbn,location,cover,date
1613084044-3088,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,"Getting Real: The Smarter, Faster, Easier Way to Build a Web Application",https://www.goodreads.com/book/show/447648.Getting_Real,"Getting Real: The Smarter, Faster, Easier Way to Build a Web Application",37 Signals,null,Design,null,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1384467434l/447648.jpg,null
1613084135-3198,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Google Speaks,https://www.goodreads.com/book/show/5705284-google-speaks,Google Speaks,Janet Lowe,null,Business,9780470398548,Mountain View,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1348883110l/5705284.jpg,(first published April 22nd 2009)
1613083995-3012,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Googled: The End of the World as We Know It,https://www.goodreads.com/book/show/6514908-googled,Googled: The End of the World as We Know It,Ken Auletta,null,Science,9781594202353,Mountain View,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1347715468l/6514908.jpg,(first published 2009)
1613083975-2980,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Groundswell: Winning in a World Transformed by Social Technologies,https://www.goodreads.com/book/show/2896061-groundswell,Groundswell: Winning in a World Transformed by Social Technologies,Charlene Li,null,Nonfiction,9781422125007,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1442815608l/2896061._SY475_.jpg,(first published January 1st 2008)
1613083938-2923,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Hard Drive: Bill Gates and the Making of the Microsoft Empire,https://www.goodreads.com/book/show/41611.Hard_Drive,Hard Drive: Bill Gates and the Making of the Microsoft Empire,James Wallace,null,Business,9780887306297,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1440431674l/41611._SY475_.jpg,(first published January 1st 1992)
1613083640-2599,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Haunted Empire: Apple After Steve Jobs,https://www.goodreads.com/book/show/18669497-haunted-empire,Haunted Empire: Apple After Steve Jobs,Yukari Iwatani Kane,null,Biography,null,Cupertino,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1391414801l/18669497.jpg,(first published March 1st 2014)
1613083710-2665,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Hooking Up,https://www.goodreads.com/book/show/2025353.Hooking_Up,Hooking Up,Tom Wolfe,null,Writing,9780374103828,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1423503927l/2025353.jpg,(first published 1989)
1613083984-3005,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,How Google Works,https://www.goodreads.com/book/show/23158207-how-google-works,How Google Works,Eric Schmidt,null,Science,null,Mountain View,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1422538855l/23158207.jpg,(first published September 1st 2014)
1613084016-3042,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,I'm Feeling Lucky: The Confessions of Google Employee Number 59,https://www.goodreads.com/book/show/9871673-i-m-feeling-lucky,I'm Feeling Lucky: The Confessions of Google Employee Number 59,Douglas Edwards,null,Google,null,Mountain View,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1438696440l/9871673._SY475_.jpg,(first published January 1st 2011)
1613083688-2647,https://www.goodreads.com/list/show/13430.Silicon_Valley_History,Imagine: How Creativity Works,https://www.goodreads.com/book/show/12987640-imagine,Imagine: How Creativity Works,Jonah Lehrer,null,Biology,null,null,https://i.gr-assets.com/images/S/compressed.photo.goodreads.com/books/1327000473l/12987640.jpg,null
